Time_s,Output
2.05978898,-0.001944054
2.060375147,-0.001931549
2.060961313,-0.001917348
2.061547479,-0.001902838
2.062133646,-0.001888372
2.062719812,-0.001873311
2.063305979,-0.001856244
2.063892145,-0.001835372
2.064478312,-0.001809024
2.065064478,-0.001776229
2.065650645,-0.001737166
2.066236811,-0.001693376
2.066822978,-0.001647649
2.067409144,-0.001603675
2.067995311,-0.00156554
2.068581477,-0.001537175
2.069167644,-0.001521768
2.06975381,-0.001521177
2.070339977,-0.00153544
2.070926143,-0.001562552
2.071512309,-0.001598671
2.072098476,-0.001638789
2.072684642,-0.001677677
2.073270809,-0.001710817
2.073856975,-0.001735031
2.074443142,-0.001748738
2.075029308,-0.001751915
2.075615475,-0.001745895
2.076201641,-0.001733032
2.076787808,-0.001716205
2.077373974,-0.001698148
2.077960141,-0.001680748
2.078546307,-0.001664517
2.079132474,-0.001648454
2.07971864,-0.001630337
2.080304807,-0.00160733
2.080890973,-0.001576722
2.08147714,-0.001536599
2.082063306,-0.001486341
2.082649472,-0.001426876
2.083235639,-0.001360699
2.083821805,-0.001291631
2.084407972,-0.001224372
2.084994138,-0.001163856
2.085580305,-0.001114529
2.086166471,-0.001079637
2.086752638,-0.001060649
2.087338804,-0.001056947
2.087924971,-0.001065875
2.088511137,-0.001083203
2.089097304,-0.001103908
2.08968347,-0.001123068
2.090269637,-0.001136617
2.090855803,-0.001141803
2.09144197,-0.001137355
2.092028136,-0.001123429
2.092614302,-0.001101389
2.093200469,-0.001073391
2.093786635,-0.001041812
2.094372802,-0.001008612
2.094958968,-0.000974841
2.095545135,-0.000940411
2.096131301,-0.000904187
2.096717468,-0.000864306
2.097303634,-0.000818646
2.097889801,-0.000765358
2.098475967,-0.000703362
2.099062134,-0.000632711
2.0996483,-0.000554714
2.100234467,-0.000471795
2.100820633,-0.000387172
2.1014068,-0.000304437
2.101992966,-0.000227142
2.102579132,-0.000158371
2.103165299,-0.000100326
2.103751465,-5.40E-05
2.104337632,-1.89E-05
2.104923798,6.63E-06
2.105509965,2.49E-05
2.106096131,3.85E-05
2.106682298,4.96E-05
2.107268464,5.97E-05
2.107854631,6.97E-05
2.108440797,8.00E-05
2.109026964,9.05E-05
2.10961313,0.000101106
2.110199297,0.000111472
2.110785463,0.00012163
2.11137163,0.000132089
2.111957796,0.000143883
2.112543962,0.000158388
2.113130129,0.000176981
2.113716295,0.000200695
2.114302462,0.000229966
2.114888628,0.000264506
2.115474795,0.000303308
2.116060961,0.000344768
2.116647128,0.000386906
2.117233294,0.000427695
2.117819461,0.000465394
2.118405627,0.000498842
2.118991794,0.000527603
2.11957796,0.000551989
2.120164127,0.000572963
2.120750293,0.000591973
2.12133646,0.000610725
2.121922626,0.000630893
2.122508792,0.000653791
2.123094959,0.000680111
